notion_url,title,product_type,pipeline,active,supplier_coverage_status,naics_code
https://app.notion.com/3c85edabeab848ce99805b7e30434bfd,Philpott Anchors and Instrumentation Construction,Construction/Services,No-bid,True,,237990
https://app.notion.com/3e6491957dd14ebca41cb6c591dc291f,"VALVE, LINEAR, DIRECT",Valves/Piping,Inbox,True,,336413
https://app.notion.com/3e6b3d60571846d19d88b651767dd3b3,Brand name Life Fitness Integrity+ SL Treadmills for FAMS NYFO,Other,No-bid,True,,339920
https://app.notion.com/3ecd33628a1c4ac7a04d941cb537d6b1,"NSN 4810011022473, VALVE,SOLENOID, WSDC: 40A, HELICOPTER, UH-60A,UH-60L, UH-60V",Valves/Piping,Inbox,True,3+ Suppliers,332911
https://app.notion.com/41f00e45ed164021bedd507967453cbb,"COIL,ELECTRICAL 5950-01-615-0823",Other,No-bid,True,,334416
https://app.notion.com/46087a6c3b9e478b86d9a6d1a54acad6,"NUT, SELF-LOCKING, HE / NSN 5310-01-208-2765 / ARLEIGH BURK CLASS DDG",Fasteners,Inbox,True,3+ Suppliers,332722
https://app.notion.com/490f19e871b14f44bff70f13fb698ac5,"BALL, VALVE , PORTED",Valves/Piping,Inbox,True,,336611
https://app.notion.com/4c2b5d253146479484c107255a3bdf22,USS FRANK CABLE Boiler Tubes,Steel/Fab,Inbox,True,3+ Suppliers,332410
https://app.notion.com/4f426efcf73c47219e1e1e6c8cf72e7e,"VALVE, REGULATING, FLUID PRESSURE",Valves/Piping,Inbox,True,3+ Suppliers,332911
https://app.notion.com/50fbc6d45e9341619dcc53bbaf58f39a,Technical Support Services for NEPA compliance (SWEA),Construction/Services,No-bid,True,,541620
https://app.notion.com/540701797027495ea8a5362e116c47a6,W912CH-25-Q-0015 for Airflow Valve; NSN: 4240-01-055-1493,Valves/Piping,Inbox,True,3+ Suppliers,423120
https://app.notion.com/57ec0115b4394aba82779b6b8b04019f,REMANUFACTURE OF F-15 CABIN RAM AIR BUTTERFLY VALVE,Valves/Piping,Inbox,True,3+ Suppliers,336413
https://app.notion.com/5b166f515d514f90a113080930b2f1a0,19SG2026Q0009_ U.S. Embassy Senegal _ cellphone services,Other,No-bid,True,,517112
https://app.notion.com/5e2c542985a6412393327e301de434ec,"Valve,Check",Valves/Piping,Inbox,True,3+ Suppliers,332911
https://app.notion.com/601169ac2d144bcc8bc0b5006c8f602d,Rynglok Field Tubing Kit,Valves/Piping,Inbox,True,3+ Suppliers,332912
https://app.notion.com/62ca475a22ff47619aeda14b67370c7d,45--COOLING COIL 56DWM,Steel/Fab,Inbox,True,3+ Suppliers,333414
https://app.notion.com/633eec0c5bf44b70bf490dd80e2705fc,GASKET,Valves/Piping,Inbox,True,,339991
https://app.notion.com/6463c0609ed84d1f9c87808df3a5dce7,"Residential Reentry Services, Charlotte NC",Construction/Services,No-bid,True,,623990
https://app.notion.com/65e9c6c3d5184d45805e63de362a2fac,3 Year Blanket Purchase Agreement for Steel Cutting,Steel/Fab,Inbox,True,3+ Suppliers,333517
https://app.notion.com/671ebc5a6607489d9db1a64bae309973,FCI Loretto - Metal Doors,Doors/Hardware,Quote,True,3+ Suppliers,332321
https://app.notion.com/6927e1401466451d954b5cfd32f16565,HX: Pipe Seamless Carbon Steel; SCH 80,Valves/Piping,Inbox,True,3+ Suppliers,331210
https://app.notion.com/698c1d7925d3440ea431aa5941c794e6,"48--VALVE,BALL",Valves/Piping,Inbox,True,,332919
https://app.notion.com/69ab6fce4d634740bdd8b4bf040527fc,"Tube, Metal, Pressure Sensing Line",Valves/Piping,Inbox,True,,332996
https://app.notion.com/6be26d542ca14d78ba42f9430cc46335,REMANUFACTURE OF F-15 CABIN RAM AIR BUTTERFLY VALVE,Valves/Piping,Inbox,True,,336413
https://app.notion.com/6fe25351a6634b8889dad4aaea649ab1,M4 Rifle and Parts (5.56x45mm NATO),Other,No-bid,True,,332994
https://app.notion.com/7115a98a470d46158273ac669bd9dd51,"95--BAR,METAL",Steel/Fab,Inbox,True,,
https://app.notion.com/74776535ab6c4905b63572e610caf04e,"Section 32 Walnuts, Solicitation NO: 2000011363",Other,No-bid,True,,311911
https://app.notion.com/78e7b8992cbc4c049bd5405cca210780,Sources Sought: Long Range Standoff Production,Other,No-bid,True,,336414
https://app.notion.com/78f0ae875fd94866911d67341cca988c,CNC Plasma Arc Cutting Machine,Equipment/Tools,Research,True,3+ Suppliers,333992
https://app.notion.com/79001dd318444392ad85db7331d94030,Fisher Scientific Pipets,Other,No-bid,True,,334516
https://app.notion.com/7cade03b3f3247fc9cf22fdc289ad2f1,License Plate Reader IDIQ for FBI Directorate of Intelligence,Other,No-bid,True,,561990
https://app.notion.com/7f973a0f70894b819251571cc90903e7,"VALVE,BUTTERFLY",Valves/Piping,Inbox,True,3+ Suppliers,332919
https://app.notion.com/818c3246562543788317d9d863d5424e,Purchasing metal custom test frames with critical alignment requirements,Steel/Fab,Inbox,True,3+ Suppliers,332999
https://app.notion.com/827fcf3be4a64070a5757fbe9dae3672,T-38 Wingtips RH & LH,Other,No-bid,True,,336413
https://app.notion.com/84d614765d984c52947cfc46a50e7829,"STEM,FLUID VALVE",Valves/Piping,Inbox,True,3+ Suppliers,332919
https://app.notion.com/85bf09edb5fc4c939008ee025d4a39d7,FY26 4TH QTR PRODUCE,Other,No-bid,True,,311991
https://app.notion.com/87b997d47b4645628e1d7e0127a92fb7,INL_RFQ-PR15678837 HESCO'S (BARRIER) SYSTEM BARRANCABERMEJA,Steel/Fab,Inbox,True,3+ Suppliers,327999
https://app.notion.com/8986136c5cc24062b613efa6c1a7115d,F999--Environmental Compliance Support,Construction/Services,No-bid,True,,541620
https://app.notion.com/899ea9dc613443d7bb9935e00f9b7516,Automated Vial Capper Machine and Labeler system,Other,No-bid,True,,333993
https://app.notion.com/89f9babc21384b4cadd089698e055090,"Navy Barracks Upgrades, York 1807",Construction/Services,No-bid,True,,236220
https://app.notion.com/8a493c311f654d4899a2d18f2fde76c7,"ELBOW,PIPE TO HOSE",Valves/Piping,Inbox,True,,332919
https://app.notion.com/8a68467c3b21496d8ae53662ff45a428,Z2NE--544-22-115 Replace Water and Fire Piping Loop,Construction/Services,No-bid,True,,237110
https://app.notion.com/8f15282e78ac4d318e2a53b06266784b,Mobile Recoating Facility for F/A-18E/F and EA-18G Aircraft Pylon,Construction/Services,No-bid,True,,336413
https://app.notion.com/92abb997142d4c068464fa555ea61568,Repair Main Gas Valve Bldg 100,Construction/Services,No-bid,True,,238220
https://app.notion.com/9446d1773c944a289db81fe1a0338aaf,Repair Main Gas Valve Bldg 100,Construction/Services,No-bid,True,,238220
https://app.notion.com/951bf30a600148eb8e451ab57736307d,License Plate Reader IDIQ for FBI Directorate of Intelligence,Other,No-bid,True,,561990
https://app.notion.com/957a587ff3fc432299a021c99db26c28,Small Business Set Aside Vegas Fastener K-Monel Screws (drawings via SAM),Fasteners,Inbox,True,3+ Suppliers,332722
https://app.notion.com/95beb01605b544fb943856404577918c,6515--Intent to Sole Source EQUIPMENT - PILL PACKAGING UNIT,Other,No-bid,True,,339113
https://app.notion.com/96c4c51e62ae43639bd31f1d72a8c3c8,"48--POPPET,VALVE - AND SIMILAR REPLACEMENT PARTS",Valves/Piping,Inbox,True,3+ Suppliers,
